Title,Link,Job Type,Campany,Location
Data Analysis/Analytics Instructor (Excel - Power BI),https://wuzzuf.net/jobs/p/BU3QKvgTDjow-Data-AnalysisAnalytics-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt,Full TimePart TimeFreelance / ProjectHybrid,EpsilonAI -,"Nasr City, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/wI3Thsl5lvm8-Data-Analyst-Giza-Egypt,Full TimeHybrid,Confidential -,"Mohandessin, Giza, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/Q2yPRfwbwbYt-Data-Analyst-Sequel-Solutions-Cairo-Egypt,Full TimeRemote,Sequel Solutions -,"Cairo, Egypt "
Financial Planning And Analysis ( FP & A ),https://wuzzuf.net/jobs/p/k6U30JjorT5n-Financial-Planning-And-Analysis-FP-A-Mafad-Contracting-Company-Alexandria-Egypt,Full TimeOn-site,Mafad Contracting Company   -,"Alexandria, Egypt "
Financial Planning and Analysis,https://wuzzuf.net/jobs/p/aYmnEBAEXDhZ-Financial-Planning-and-Analysis-Cleopatra-Hospitals-Group-Cairo-Egypt,Full TimeOn-site,Cleopatra Hospitals Group -,"Heliopolis, Cairo, Egypt "
Senior Data Analyst,https://wuzzuf.net/jobs/p/V7KZ7MXENQzR-Senior-Data-Analyst-Partners-Outsourcing-Solutions-Alexandria-Egypt,Full TimeOn-site,Partners Outsourcing Solutions -,"San Stefano, Alexandria, Egypt "
Data Scientist,https://wuzzuf.net/jobs/p/oXGuBSKjYv5b-Data-Scientist-Lumin-Giza-Egypt,Full TimeHybrid,Lumin -,"Sheikh Zayed, Giza, Egypt "
Repair Order Specialist (Data Analyst),https://wuzzuf.net/jobs/p/FV8bfmJzTSSY-Repair-Order-Specialist-Data-Analyst-OPPO-Egypt-Cairo-Egypt,Full TimeOn-site,OPPO Egypt  -,"Nasr City, Cairo, Egypt "
Data Analyst (Supply Chain),https://wuzzuf.net/jobs/p/QFNPKl2AOhTw-Data-Analyst-Supply-Chain-Cleopatra-Hospitals-Group-Cairo-Egypt,Full TimeOn-site,Cleopatra Hospitals Group -,"New Cairo, Cairo, Egypt "
Data Analyst,https://wuzzuf.net/jobs/p/PjEL8BkeqRTd-Data-Analyst-Kellogg-Tolaram-Noodles-Egypt-LLC-Cairo-Egypt,Full TimeOn-site,Kellogg Tolaram Noodles Egypt LLC -,"Cairo, Egypt "
Senior Data Analyst Specialist,https://wuzzuf.net/jobs/p/QK5LF3SnRhJn-Senior-Data-Analyst-Specialist-Cairo-Three-A-Poultry-Cairo-Egypt,Full TimeOn-site,Cairo Three A Poultry -,"Cairo, Egypt "
Senior Data Scientist - Hybrid,https://wuzzuf.net/jobs/p/vNVfWIIz9Knf-Senior-Data-Scientist---Hybrid-Seoudi-Supermarket-Giza-Egypt,Full TimeHybrid,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt "
Data Analyst Specialist - FMCG,https://wuzzuf.net/jobs/p/52X4q71U8eqJ-Data-Analyst-Specialist---FMCG-Cairo-Egypt,Full TimeOn-site,Confidential -,"Obour City, Cairo, Egypt "
